CustomerID,Age,Gender,Income,CampaignChannel,CampaignType,AdSpend,ClickThroughRate,ConversionRate,WebsiteVisits,PagesPerVisit,TimeOnSite,SocialShares,EmailOpens,EmailClicks,PreviousPurchases,LoyaltyPoints,AdvertisingPlatform,AdvertisingTool,Conversion
8000,56,Female,136912,Social Media,Awareness,6497.87006841776,0.043918510735383,0.088031412072881,0,2.39901652778384,7.39680258079605,19,6,9,4,688,IsConfid,ToolConfid,1
8001,69,Male,41760,Email,Retention,3898.66860568072,0.155725071055334,0.18272468252179,42,2.91713775465651,5.35254860124215,5,2,7,2,3459,IsConfid,ToolConfid,1
8002,46,Female,88456,PPC,Awareness,1546.42959579909,0.277490368733263,0.0764227200769893,2,8.22361909796517,13.7949014655365,0,11,2,8,2337,IsConfid,ToolConfid,1
8003,32,Female,44085,PPC,Conversion,539.525935779369,0.137611253601723,0.0880041866896052,47,4.54093897313264,14.6883626212605,89,2,2,0,2463,IsConfid,ToolConfid,1
8004,60,Female,83964,PPC,Conversion,1678.04357265706,0.25285110656388,0.109940103179294,0,2.04684711807375,13.9933704026289,6,6,6,8,4345,IsConfid,ToolConfid,1
8005,25,Female,42925,Social Media,Awareness,9579.388246784,0.153794679144681,0.161316126470101,6,2.12584971889748,7.75283124173589,95,5,8,0,3316,IsConfid,ToolConfid,1
8006,38,Female,25615,Referral,Awareness,7302.8998515526,0.0409753864012685,0.0609768202791524,42,1.75399464484641,10.6986716097385,54,14,3,6,930,IsConfid,ToolConfid,1
8007,56,Female,57083,Social Media,Conversion,5324.2836672495,0.0528779285572571,0.188945924860851,48,2.62601478042996,2.98781738204595,96,9,3,0,2983,IsConfid,ToolConfid,1
8008,36,Female,140788,Email,Retention,9421.25095054045,0.0235359683143721,0.112585011417092,13,5.47284281987171,14.2874205790676,73,4,8,5,460,IsConfid,ToolConfid,1
8009,40,Male,130764,Social Media,Awareness,6229.19333304787,0.0666412747669137,0.169785679623137,22,1.135664698104,4.61331198353002,14,8,4,8,3789,IsConfid,ToolConfid,1
8010,28,Male,88319,PPC,Retention,7283.8873639786,0.269148088962425,0.109867511856643,47,2.05418072164496,3.29472045722069,94,16,5,6,1987,IsConfid,ToolConfid,1
8011,28,Male,29605,SEO,Awareness,2898.25300320813,0.198557433323544,0.156678707190602,16,9.16410933538071,1.3722992112148,23,18,6,5,2403,IsConfid,ToolConfid,1
8012,41,Male,131093,Email,Conversion,5930.92025153303,0.224268511116044,0.0197699429720159,13,8.88923234042813,8.48038414053297,28,16,5,4,2946,IsConfid,ToolConfid,1
8013,53,Male,64608,SEO,Awareness,1520.42471854861,0.190281822934065,0.161850371519772,8,8.49772339229629,14.2527249623076,81,8,1,2,2818,IsConfid,ToolConfid,1
8014,57,Male,148788,Email,Awareness,4104.38313745797,0.12209639472012,0.109552291663889,20,7.35653460629064,2.4660296351671,70,16,8,1,3247,IsConfid,ToolConfid,1
8015,41,Female,39192,Email,Awareness,429.07921736744,0.0728897285108404,0.0953889617554506,44,6.95369491204816,2.25203938303508,33,0,1,1,4474,IsConfid,ToolConfid,0
8016,20,Female,23331,PPC,Conversion,2244.61806706853,0.27842822936285,0.0312058366562549,1,3.47964230046053,4.45266566728035,77,7,8,8,3252,IsConfid,ToolConfid,1
8017,39,Female,71330,Social Media,Conversion,841.199431284479,0.159300636651826,0.150896882392617,31,4.01495079270334,10.1482114482546,83,18,5,2,3463,IsConfid,ToolConfid,1
8018,19,Female,117392,PPC,Conversion,3939.01031312159,0.149518965550302,0.0349210939757863,7,3.12221961636588,8.44329584248851,92,8,4,6,2222,IsConfid,ToolConfid,1
8019,41,Female,69949,PPC,Consideration,8446.04812992105,0.298870185692128,0.0465403844327586,35,9.82282268849782,1.89500092406356,36,7,7,3,3644,IsConfid,ToolConfid,1
8020,61,Female,88382,PPC,Consideration,3841.54765281602,0.121339696632658,0.0340204185848331,25,6.70874306776906,6.91335350146453,41,5,1,6,1651,IsConfid,ToolConfid,1
8021,47,Female,119233,SEO,Consideration,8333.23229734696,0.257696341318749,0.0112493654655946,36,9.69190632380631,1.47051815255573,63,14,0,5,2586,IsConfid,ToolConfid,1
8022,55,Male,57586,Email,Consideration,6599.33329453098,0.260079777491888,0.135763618212764,14,3.44607803796049,12.8526004395721,94,14,6,9,1989,IsConfid,ToolConfid,1
8023,19,Female,72243,Referral,Conversion,5144.34152164519,0.0774743610037607,0.0614603685066052,33,6.59088200513542,2.05312079881213,18,5,5,3,1417,IsConfid,ToolConfid,1
8024,38,Female,120566,Social Media,Awareness,2445.22776328717,0.037503510781547,0.0383993872462522,20,7.83055678521032,7.33382552085477,22,14,3,2,1563,IsConfid,ToolConfid,1
8025,50,Female,144213,PPC,Conversion,9229.3453191571,0.2929298335576,0.0707947716777232,22,1.85265178445058,7.90172193346698,70,17,3,3,2227,IsConfid,ToolConfid,1
8026,29,Male,78618,Email,Consideration,636.588007536129,0.133510090599314,0.104826091393868,8,7.00264858317259,8.18683094781055,5,5,5,1,129,IsConfid,ToolConfid,0
8027,39,Male,98311,Social Media,Retention,6920.23887521827,0.0106438933829566,0.105648378968014,39,2.52165310818842,9.33274626153203,98,17,6,1,2688,IsConfid,ToolConfid,1
8028,61,Female,27549,Referral,Retention,6250.27493881275,0.154715171810397,0.0797672415830722,25,3.95274201047939,10.6729451028199,92,17,1,3,68,IsConfid,ToolConfid,1
8029,42,Female,138168,Referral,Conversion,4466.31107033961,0.18959710548676,0.104037131497871,42,7.44537703461943,0.563191096181452,54,18,6,2,3079,IsConfid,ToolConfid,1
